Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.52,0.07648529270389176,0.505,0.09797958971132714,0.55,0.015811388300841875
mean,1,1,0.605,0.05338539126015657,0.5299999999999999,0.05099019513592784,0.5299999999999999,0.05099019513592784
std,1,1,0.49000000000000005,0.030000000000000013,0.385,0.05612486080160911,0.385,0.05612486080160911
autoreg_k=5,5,1,0.77,0.15999999999999998,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
multifracs_j1=1_j2=12,3,1,0.875,0.01581138830084191,0.8400000000000001,0.03391164991562633,0.905,0.018708286933869726
shannon_encoding,8,1,0.4800000000000001,0.05338539126015657,0.985,0.020000000000000018,0.9949999999999999,0.010000000000000009
autoencoder_fourier_transform=True,16,1,0.4600000000000001,0.03391164991562633,0.5,0.052440442408507565,0.5650000000000001,0.04062019202317979
crosscor_mean,11,2,0.53,0.08860022573334676,0.5650000000000001,0.051478150704935006,0.6300000000000001,0.048476798574163295
crosscor_std,11,2,0.52,0.07648529270389176,0.555,0.09539392014169457,0.585,0.01999999999999998
crosscor_autoreg_k=5,15,2,0.52,0.07648529270389176,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
crosscor_multifracs_j1=1_j2=12,13,2,0.52,0.07648529270389176,0.8400000000000001,0.05830951894845301,0.9049999999999999,0.024494897427831806
crosscor_shannon_encoding,18,2,0.475,0.05477225575051663,0.99,0.012247448713915901,0.9949999999999999,0.010000000000000009
crosscor_autoencoder_fourier_transform=True,26,2,0.525,0.07582875444051551,0.555,0.033166247903553984,0.6049999999999999,0.06204836822995428
mean_std,2,2,0.62,0.05567764362830023,0.5650000000000001,0.07176350047203663,0.6199999999999999,0.0678232998312527
mean_autoreg_k=5,6,2,0.7049999999999998,0.03316624790355399,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
mean_multifracs_j1=1_j2=12,4,2,0.89,0.020000000000000018,0.8549999999999999,0.03674234614174767,0.9049999999999999,0.018708286933869726
mean_shannon_encoding,9,2,0.475,0.05477225575051663,0.9800000000000001,0.018708286933869722,0.9949999999999999,0.010000000000000009
mean_autoencoder_fourier_transform=True,17,2,0.505,0.06204836822995428,0.5449999999999999,0.07483314773547885,0.595,0.062048368229954305
std_autoreg_k=5,6,2,0.775,0.15968719422671313,0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
