Transformation (shape),shape,nb_trans,SVM accuracy,SVM std,DecisionTree accuracy,DecisionTree std,RandomForest accuracy,RandomForest std
crosscor,10,1,0.505,0.06595452979136457,0.46499999999999997,0.08154753215150044,0.49000000000000005,0.10074720839804943
mean,1,1,0.46499999999999997,0.058309518948453015,0.44000000000000006,0.03391164991562634,0.44000000000000006,0.03391164991562634
std,1,1,0.5650000000000001,0.04358898943540673,0.425,0.07071067811865477,0.425,0.07071067811865477
autoreg_k=5,5,1,0.48,0.02449489742783177,0.635,0.060415229867972854,0.55,0.04183300132670378
multifracs_j1=1_j2=12,3,1,0.485,0.030000000000000002,0.525,0.0758287544405155,0.465,0.06633249580710802
shannon_encoding,8,1,0.46499999999999997,0.037416573867739424,0.54,0.06819090848492927,0.5650000000000001,0.0845576726264388
autoencoder_fourier_transform=True,16,1,0.545,0.0556776436283002,0.495,0.0484767985741633,0.53,0.0678232998312527
crosscor_mean,11,2,0.5,0.06123724356957944,0.465,0.07348469228349536,0.505,0.07810249675906655
crosscor_std,11,2,0.505,0.06595452979136457,0.49000000000000005,0.06442049363362562,0.525,0.08803408430829505
crosscor_autoreg_k=5,15,2,0.505,0.06595452979136457,0.51,0.03391164991562635,0.47000000000000003,0.050990195135927854
crosscor_multifracs_j1=1_j2=12,13,2,0.495,0.06204836822995428,0.555,0.03674234614174766,0.52,0.045825756949558406
crosscor_shannon_encoding,18,2,0.46499999999999997,0.037416573867739424,0.465,0.02549509756796392,0.505,0.08124038404635961
crosscor_autoencoder_fourier_transform=True,26,2,0.52,0.07810249675906654,0.49000000000000005,0.0463680924774785,0.53,0.04301162633521313
mean_std,2,2,0.45999999999999996,0.07842193570679064,0.49000000000000005,0.06244997998398398,0.49000000000000005,0.046368092477478536
mean_autoreg_k=5,6,2,0.425,0.03872983346207418,0.595,0.06595452979136461,0.55,0.04183300132670376
mean_multifracs_j1=1_j2=12,4,2,0.41500000000000004,0.04636809247747852,0.43500000000000005,0.03391164991562634,0.445,0.06204836822995428
mean_shannon_encoding,9,2,0.46499999999999997,0.037416573867739424,0.525,0.0758287544405155,0.52,0.0842614977317636
mean_autoencoder_fourier_transform=True,17,2,0.45999999999999996,0.060415229867972875,0.48,0.050990195135927875,0.5,0.0894427190999916
std_autoreg_k=5,6,2,0.45499999999999996,0.024494897427831782,0.5650000000000001,0.0874642784226795,0.51,0.046368092477478515
std_multifracs_j1=1_j2=12,4,2,0.4600000000000001,0.046368092477478536,0.485,0.08746427842267952,0.51,0.08154753215150046
std_shannon_encoding,9,2,0.46499999999999997,0.037416573867739424,0.55,0.047434164902525694,0.535,0.012247448713915901
std_autoencoder_fourier_transform=True,17,2,0.5349999999999999,0.06442049363362562,0.44000000000000006,0.0916515138991168,0.46499999999999997,0.0768114574786861
autoreg_k=5_multifracs_j1=1_j2=12,8,2,0.48,0.02449489742783177,0.57,0.05567764362830023,0.495,0.04301162633521316
autoreg_k=5_shannon_encoding,13,2,0.46499999999999997,0.037416573867739424,0.5,0.0758287544405155,0.59,0.06819090848492929
autoreg_k=5_autoencoder_fourier_transform=True,21,2,0.52,0.04847679857416329,0.525,0.04183300132670378,0.49000000000000005,0.06442049363362562
multifracs_j1=1_j2=12_shannon_encoding,11,2,0.46499999999999997,0.037416573867739424,0.5700000000000001,0.0871779788708135,0.5450000000000002,0.07483314773547882
multifracs_j1=1_j2=12_autoencoder_fourier_transform=True,19,2,0.52,0.043011626335213125,0.495,0.08860022573334676,0.475,0.0570087712549569
shannon_encoding_autoencoder_fourier_transform=True,24,2,0.46499999999999997,0.037416573867739424,0.45499999999999996,0.029154759474226483,0.485,0.037416573867739424
crosscor_mean_std,12,3,0.5,0.06123724356957944,0.495,0.07968688725254615,0.51,0.08888194417315588
crosscor_mean_autoreg_k=5,16,3,0.505,0.06595452979136457,0.4699999999999999,0.05338539126015656,0.49000000000000005,0.046368092477478536
crosscor_mean_multifracs_j1=1_j2=12,14,3,0.495,0.06204836822995428,0.58,0.05787918451395114,0.505,0.04301162633521312
crosscor_mean_shannon_encoding,19,3,0.46499999999999997,0.037416573867739424,0.515,0.09027735042633894,0.515,0.06244997998398396
crosscor_mean_autoencoder_fourier_transform=True,27,3,0.52,0.07810249675906654,0.505,0.03674234614174769,0.4600000000000001,0.07516648189186456
crosscor_std_autoreg_k=5,16,3,0.505,0.06595452979136457,0.51,0.08306623862918075,0.495,0.05999999999999999
crosscor_std_multifracs_j1=1_j2=12,14,3,0.495,0.06204836822995428,0.59,0.07516648189186455,0.5050000000000001,0.05099019513592784
crosscor_std_shannon_encoding,19,3,0.46499999999999997,0.037416573867739424,0.5199999999999999,0.06964194138592057,0.53,0.10295630140986999
crosscor_std_autoencoder_fourier_transform=True,27,3,0.52,0.07810249675906654,0.48,0.04000000000000001,0.505,0.11335784048754634
crosscor_autoreg_k=5_multifracs_j1=1_j2=12,18,3,0.495,0.06204836822995428,0.575,0.02738612787525829,0.5349999999999999,0.07681145747868608
